"","species","Longitude","Latitude","occ","coords.x1","coords.x2"
"257","Lutjanus Griseus",-61.180055,16.248708,1,-61.180055,16.248708
"258","Lutjanus Griseus",-86.586212,30.39873,1,-86.586212,30.39873
"259","Lutjanus Griseus",-79.2065,25.417211,1,-79.2065,25.417211
"260","Lutjanus Griseus",-82.314071,26.803733,1,-82.314071,26.803733
"261","Lutjanus Griseus",-96.919551,27.403562,1,-96.919551,27.403562
"262","Lutjanus Griseus",-86.381696,16.380023,1,-86.381696,16.380023
"263","Lutjanus Griseus",-88.089841,17.194381,1,-88.089841,17.194381
"264","Lutjanus Griseus",-88.0278,17.8601,1,-88.0278,17.8601
"265","Lutjanus Griseus",-82.666078,27.632725,1,-82.666078,27.632725
"266","Lutjanus Griseus",-88.083832,17.74439,1,-88.083832,17.74439
"267","Lutjanus Griseus",-88.798336,30.39376,1,-88.798336,30.39376
"268","Lutjanus Griseus",-82.774828,28.144871,1,-82.774828,28.144871
"269","Lutjanus Griseus",-82.103786,26.112022,1,-82.103786,26.112022
"270","Lutjanus Griseus",-89.493,29.226,1,-89.493,29.226
"271","Lutjanus Griseus",-96.8289,28.4071,1,-96.8289,28.4071
"272","Lutjanus Griseus",-97.019544,27.992421,1,-97.019544,27.992421
"273","Lutjanus Griseus",-93.8174,27.8741,1,-93.8174,27.8741
"274","Lutjanus Griseus",-96.225,28.675,1,-96.225,28.675
"275","Lutjanus Griseus",-96.49908,28.752485,1,-96.49908,28.752485
"276","Lutjanus Griseus",-95.63422,28.77219,1,-95.63422,28.77219
"277","Lutjanus Griseus",-95.24329,28.98268,1,-95.24329,28.98268
"278","Lutjanus Griseus",-95.97653,28.68258,1,-95.97653,28.68258
"279","Lutjanus Griseus",-93.5994,27.9078,1,-93.5994,27.9078
"280","Lutjanus Griseus",-96.852286,28.551625,1,-96.852286,28.551625
"281","Lutjanus Griseus",-88.564074,30.368946,1,-88.564074,30.368946
"282","Lutjanus Griseus",-78.685854,22.61234,1,-78.685854,22.61234
"283","Lutjanus Griseus",-81.313051,24.647234,1,-81.313051,24.647234
"284","Lutjanus Griseus",-65.32479,18.29841,1,-65.32479,18.29841
"285","Lutjanus Griseus",-65.68559,18.1024,1,-65.68559,18.1024
"286","Lutjanus Griseus",-65.33181,18.09878,1,-65.33181,18.09878
"287","Lutjanus Griseus",-65.26908,18.29649,1,-65.26908,18.29649
"288","Lutjanus Griseus",-65.4456,18.20545,1,-65.4456,18.20545
"289","Lutjanus Griseus",-67.30788,18.03,1,-67.30788,18.03
"290","Lutjanus Griseus",-65.3757,18.32659,1,-65.3757,18.32659
"291","Lutjanus Griseus",-65.53025,18.17707,1,-65.53025,18.17707
"292","Lutjanus Griseus",-82.75966,29.002399,1,-82.75966,29.002399
"293","Lutjanus Griseus",-82.782805,27.502858,1,-82.782805,27.502858
"294","Lutjanus Griseus",-63.044546,18.021574,1,-63.044546,18.021574
"295","Lutjanus Griseus",-82.685425,29.007692,1,-82.685425,29.007692
"296","Lutjanus Griseus",-81.08057,29.132367,1,-81.08057,29.132367
"297","Lutjanus Griseus",-34.44022,-8.04725,1,-34.44022,-8.04725
"298","Lutjanus Griseus",-82.677597,28.775622,1,-82.677597,28.775622
"299","Lutjanus Griseus",-77.052078,26.547072,1,-77.052078,26.547072
"300","Lutjanus Griseus",-87.977898,17.862745,1,-87.977898,17.862745
"301","Lutjanus Griseus",-81.387497,25.8635,1,-81.387497,25.8635
"302","Lutjanus Griseus",-87.70368,18.718896,1,-87.70368,18.718896
"303","Lutjanus Griseus",-80.954931,22.043816,1,-80.954931,22.043816
"304","Lutjanus Griseus",-81.084267,29.326797,1,-81.084267,29.326797
"305","Lutjanus Griseus",-87.161922,20.530821,1,-87.161922,20.530821
"306","Lutjanus Griseus",-82.402271,27.792607,1,-82.402271,27.792607
"307","Lutjanus Griseus",-77.330783,26.75981,1,-77.330783,26.75981
"308","Lutjanus Griseus",-82.212736,26.959458,1,-82.212736,26.959458
"309","Lutjanus Griseus",-82.3284,26.90562,1,-82.3284,26.90562
"310","Lutjanus Griseus",-96.955439,27.571712,1,-96.955439,27.571712
"311","Lutjanus Griseus",-87.3,20.449999,1,-87.3,20.449999
"312","Lutjanus Griseus",-46.795008,-24.194138,1,-46.795008,-24.194138
"313","Lutjanus Griseus",-81.82007,26.29365,1,-81.82007,26.29365
"314","Lutjanus Griseus",-82.09677,26.55203,1,-82.09677,26.55203
"315","Lutjanus Griseus",-82.096511,26.500075,1,-82.096511,26.500075
"316","Lutjanus Griseus",-61.061105,14.549752,1,-61.061105,14.549752
"317","Lutjanus Griseus",-83.561627,30.316099,1,-83.561627,30.316099
"318","Lutjanus Griseus",-81.862386,24.56139,1,-81.862386,24.56139
"319","Lutjanus Griseus",-81.777163,25.921789,1,-81.777163,25.921789
"320","Lutjanus Griseus",-83.393326,30.31254,1,-83.393326,30.31254
"321","Lutjanus Griseus",-77.084319,26.293433,1,-77.084319,26.293433
"322","Lutjanus Griseus",-87.999722,17.797222,1,-87.999722,17.797222
"323","Lutjanus Griseus",-64.866723,32.309018,1,-64.866723,32.309018
"324","Lutjanus Griseus",-87.987995,17.22846,1,-87.987995,17.22846
"325","Lutjanus Griseus",-81.374295,24.725911,1,-81.374295,24.725911
"326","Lutjanus Griseus",-81.569242,21.607992,1,-81.569242,21.607992
"327","Lutjanus Griseus",-87.811558,16.742037,1,-87.811558,16.742037
"328","Lutjanus Griseus",-82.565239,27.306865,1,-82.565239,27.306865
"329","Lutjanus Griseus",-88.061275,16.897581,1,-88.061275,16.897581
"330","Lutjanus Griseus",-64.865529,18.349829,1,-64.865529,18.349829
"331","Lutjanus Griseus",-80.17137,26.203386,1,-80.17137,26.203386
"332","Lutjanus Griseus",-80.677135,24.876999,1,-80.677135,24.876999
"333","Lutjanus Griseus",-76.743007,18.001488,1,-76.743007,18.001488
"334","Lutjanus Griseus",-87.585354,30.33115,1,-87.585354,30.33115
"335","Lutjanus Griseus",-76.445745,24.172435,1,-76.445745,24.172435
"336","Lutjanus Griseus",-78.423844,22.551308,1,-78.423844,22.551308
"337","Lutjanus Griseus",-40.254147,-20.272424,1,-40.254147,-20.272424
"338","Lutjanus Griseus",-80.09964,25.57251,1,-80.09964,25.57251
"339","Lutjanus Griseus",-80.80955,24.73597,1,-80.80955,24.73597
"340","Lutjanus Griseus",-75.155228,38.246925,1,-75.155228,38.246925
"341","Lutjanus Griseus",-87.550502,30.277935,1,-87.550502,30.277935
"342","Lutjanus Griseus",-88.279962,21.570462,1,-88.279962,21.570462
"343","Lutjanus Griseus",-88.11241,15.69625,1,-88.11241,15.69625
"344","Lutjanus Griseus",-64.746261,18.366129,1,-64.746261,18.366129
"345","Lutjanus Griseus",-80.811913,24.619216,1,-80.811913,24.619216
"346","Lutjanus Griseus",-80.157013,26.384658,1,-80.157013,26.384658
"347","Lutjanus Griseus",-81.99913,26.516987,1,-81.99913,26.516987
"348","Lutjanus Griseus",-81.41827,31.041243,1,-81.41827,31.041243
"349","Lutjanus Griseus",-66.75077,11.84919,1,-66.75077,11.84919
"350","Lutjanus Griseus",-87.645909,29.823141,1,-87.645909,29.823141
"351","Lutjanus Griseus",-82.631632,27.716036,1,-82.631632,27.716036
"352","Lutjanus Griseus",-96.553027,27.232124,1,-96.553027,27.232124
"353","Lutjanus Griseus",-96.612438,27.182748,1,-96.612438,27.182748
"354","Lutjanus Griseus",-80.007555,26.111459,1,-80.007555,26.111459
"355","Lutjanus Griseus",-87.678984,30.256052,1,-87.678984,30.256052
"356","Lutjanus Griseus",-88.022738,17.602886,1,-88.022738,17.602886
"357","Lutjanus Griseus",-82.765677,27.448977,1,-82.765677,27.448977
"358","Lutjanus Griseus",-68.967729,12.10099,1,-68.967729,12.10099
"359","Lutjanus Griseus",-80.270076,25.459313,1,-80.270076,25.459313
"360","Lutjanus Griseus",-86.965204,20.456993,1,-86.965204,20.456993
"361","Lutjanus Griseus",-80.67305,32.214144,1,-80.67305,32.214144
"362","Lutjanus Griseus",-78.059376,33.928271,1,-78.059376,33.928271
"363","Lutjanus Griseus",-61.768492,16.059842,1,-61.768492,16.059842
